street_address,state_code,city_name,p_language,job_title,company_name,school_name,soft_skill,names
123 Main St,CA,San Francisco,Python,Software Engineer,Google,Stanford University,Communication,Cindy Zhou
456 Oak Ave,NY,New York,JavaScript,Frontend Developer,Amazon,Columbia University,Teamwork,Adam Smith
789 Pine Rd,TX,Houston,Java,Backend Developer,Microsoft,Rice University,Problem-solving,
101 Elm St,FL,Miami,C#,DevOps Engineer,Apple,University of Miami,Adaptability,
202 Maple Dr,IL,Chicago,C++,Data Scientist,Facebook,University of Chicago,Creativity,
303 Birch Ln,PA,Philadelphia,PHP,Product Manager,IBM,University of Pennsylvania,Leadership,
404 Cedar Blvd,OH,Columbus,TypeScript,UX Designer,Intel,Ohio State University,Empathy,
505 Spruce Way,GA,Atlanta,Ruby,QA Engineer,Cisco,Georgia Tech,Attention to Detail,
606 Willow Ct,NC,Charlotte,Swift,iOS Developer,NVIDIA,UNC Charlotte,Time Management,
707 Aspen St,MI,Detroit,Go,System Administrator,Tesla,University of Michigan,Collaboration,
808 Redwood Dr,VA,Arlington,Rust,Cloud Architect,Netflix,George Mason University,Innovation,
909 Palm Ave,WA,Seattle,Kotlin,Android Developer,Adobe,University of Washington,Patience,
111 Cherry Ln,CO,Denver,Scala,Big Data Engineer,Oracle,University of Colorado,Critical Thinking,
222 Peach St,MA,Boston,R,Data Analyst,Salesforce,Harvard University,Analytical Skills,
333 Apple Dr,NJ,Newark,Python,ML Engineer,Uber,Princeton University,Active Listening,
444 Orange Blvd,MD,Baltimore,JavaScript,Full Stack Developer,Spotify,Johns Hopkins University,Conflict Resolution,
555 Grape Way,AZ,Phoenix,Java,Technical Lead,Airbnb,Arizona State University,Decision Making,
666 Lemon Ct,OR,Portland,C#,Game Developer,Electronic Arts,University of Oregon,Work Ethic,
777 Lime St,TN,Nashville,C++,Embedded Engineer,Zoom,Vanderbilt University,Perseverance,
888 Berry Dr,MO,St. Louis,PHP,WordPress Developer,Slack,Washington University,Positive Attitude,
999 Kiwi Blvd,IN,Indianapolis,TypeScript,Angular Developer,TikTok,Purdue University,Self-Motivation,
111 Mango Ln,WI,Milwaukee,Ruby,Rails Developer,Twitter,University of Wisconsin,Responsibility,
222 Papaya St,MN,Minneapolis,Swift,AR/VR Developer,Snapchat,University of Minnesota,Curiosity,
333 Guava Dr,LA,New Orleans,Go,Blockchain Developer,Coinbase,Tulane University,Initiative,
444 Fig Way,AL,Birmingham,Rust,Security Engineer,Palantir,University of Alabama,Integrity,
555 Date Blvd,SC,Charleston,Kotlin,Mobile Lead,Robinhood,College of Charleston,Organization,
666 Plum Ct,OK,Oklahoma City,Scala,Functional Programmer,Square,University of Oklahoma,Reliability,
777 Pear St,UT,Salt Lake City,R,Biostatistician,23andMe,University of Utah,Attention to Detail,
888 Peach Dr,IA,Des Moines,Python,Data Engineer,Wayfair,Iowa State University,Communication,
999 Apricot Blvd,KS,Wichita,JavaScript,React Specialist,Zillow,Wichita State University,Teamwork,
111 Berry Ln,AR,Little Rock,Java,Spring Developer,Grubhub,University of Arkansas,Problem-solving,
222 Nut St,MS,Jackson,C#,Unity Developer,Epic Games,University of Mississippi,Adaptability,
333 Seed Dr,NE,Omaha,C++,Quantitative Analyst,Stripe,University of Nebraska,Creativity,
444 Vine Blvd,NH,Manchester,PHP,Drupal Developer,Shopify,Dartmouth College,Leadership,
555 Root Way,ME,Portland,TypeScript,NestJS Developer,Etsy,Bowdoin College,Empathy,
666 Leaf Ct,RI,Providence,Ruby,Shopify Developer,Reddit,Brown University,Attention to Detail,
777 Bark St,DE,Wilmington,Swift,MacOS Developer,DuPont,University of Delaware,Time Management,
888 Twig Dr,SD,Sioux Falls,Go,Microservices Architect,Qualcomm,South Dakota State University,Collaboration,
999 Branch Blvd,ND,Fargo,Rust,Systems Programmer,Cerner,North Dakota State University,Innovation,
111 Trunk Ln,MT,Billings,Kotlin,Android Architect,GoDaddy,University of Montana,Patience,
222 Forest St,WY,Cheyenne,Scala,Akka Developer,Oracle,University of Wyoming,Critical Thinking,
333 Meadow Dr,ID,Boise,R,Statistical Analyst,Tableau,Boise State University,Analytical Skills,
444 Hill Blvd,WV,Charleston,Python,Data Scientist,MongoDB,West Virginia University,Active Listening,
555 Mountain Way,VT,Burlington,JavaScript,Vue.js Developer,HubSpot,University of Vermont,Conflict Resolution,
666 Valley Ct,AK,Anchorage,Java,Kotlin Developer,Indeed,University of Alaska,Decision Making,
777 River St,HI,Honolulu,C#,Xamarin Developer,Chegg,University of Hawaii,Work Ethic,
888 Ocean Dr,NM,Albuquerque,C++,Game Engine Developer,Unity,University of New Mexico,Perseverance,
999 Lake Blvd,CT,Hartford,PHP,Laravel Developer,Indeed,Yale University,Positive Attitude,
111 Bay Ln,RI,Newport,TypeScript,Deno Developer,Hasbro,Rhode Island School of Design,Self-Motivation,
222 Cove St,ME,Bangor,Ruby,Metaprogramming Expert,MathWorks,Bates College,Responsibility,
333 Harbor Dr,NH,Concord,Swift,UIKit Specialist,Adobe,Dartmouth College,Curiosity,
444 Marina Blvd,VT,Montpelier,Go,CLI Tools Developer,DigitalOcean,Middlebury College,Initiative,
555 Dock Way,DE,Dover,Rust,Systems Programmer,Cloudflare,University of Delaware,Integrity,
